UniprotID	index
P27361	823
Q7Z2H8	824
Q8IWT1	825
P11362	826
P11586	827
Q96PR1	828
Q9Y619	829
O15553	830
P21918	831
P48023	832
P21912	833
P48029	834
P21917	835
P51168	836
P45381	837
P12724	838
Q8WXG9	839
P32929	840
O95714	841
O14732	842
P21359	843
P22460	844
Q9UBS5	845
P16233	846
P16234	847
P09884	848
Q16772	849
P63316	850
Q16775	851
Q92731	852
Q9UGM1	853
P10768	854
P48651	855
Q15465	856
P51788	857
P34913	858
Q13639	859
Q13635	860
P51787	861
P12104	862
P12109	863
P05141	864
P52895	865
Q8N8R3	866
P47712	867
Q9Y666	868
P08912	869
P08913	870
P13674	871
P49815	872
P29972	873
P14867	874
P17600	875
P14868	876
O95237	877
P05091	878
Q9UM07	879
P09467	880
P45954	881
Q01064	882
P28221	883
P28222	884
P28223	885
P10826	886
P00439	887
Q09472	888
Q09470	889
Q07837	890
P21728	891
O15232	892
P24530	893
O95831	894
Q01668	895
Q14181	896
P08709	897
P35225	898
P35222	899
P08686	900
O75493	901
Q9UGJ0	902
P00326	903
P00325	904
O60674	905
Q9BXI2	906
Q92851	907
Q96SD1	908
P21439	909
P42898	910
P42892	911
Q14432	912
O43623	913
Q04760	914
P14679	915
P04054	916
P00747	917
P00740	918
P00742	919
P00749	920
P00748	921
Q14721	922
P12931	923
Q02218	924
P41279	925
Q13183	926
Q9UG56	927
P22001	928
A8MPY1	929
P35557	930
P08684	931
O14832	932
O43447	933
P48039	934
P58012	935
P98194	936
P11137	937
P15104	938
P25445	939
Q13451	940
P35228	941
Q8WXD0	942
O14727	943
P13866	944
P03956	945
P48728	946
P16220	947
P31939	948
P47895	949
P25054	950
Q9BYV1	951
P59768	952
P49715	953
P34969	954
Q13621	955
P19838	956
P50553	957
P55072	958
P18405	959
P17174	960
P51681	961
P52952	962
Q12913	963
Q9NSE4	964
P08908	965
P35499	966
P31645	967
Q7L0J3	968
Q9NP91	969
P14854	970
Q15067	971
Q9Y234	972
P22557	973
P16581	974
Q9Y233	975
Q93088	976
Q9HBH5	977
P07741	978
P08235	979
P23297	980
P00918	981
P20648	982
P13631	983
Q15111	984
P00915	985
Q9P2J5	986
P21731	987
Q9H4Y5	988
P49069	989
P32238	990
P32239	991
P35232	992
P30874	993
O75489	994
P30872	995
P00352	996
P14324	997
O60669	998
Q9H598	999
Q8TCC7	1000
P06239	1001
Q9BXJ7	1002
P67775	1003
Q04771	1004
P23471	1005
P53597	1006
P04062	1007
Q6PI48	1008
P14061	1009
P14060	1010
Q15842	1011
Q8NFJ5	1012
P54802	1013
P20061	1014
O43708	1015
Q99928	1016
P42261	1017
P42262	1018
P42263	1019
Q9GZT4	1020
Q9GZT9	1021
P19021	1022
P58340	1023
Q9NPA2	1024
P68871	1025
O43520	1026
P07900	1027
P23510	1028
O43525	1029
Q9UHC1	1030
P53667	1031
Q99728	1032
Q99720	1033
P19113	1034
P21281	1035
Q9UHQ9	1036
Q9NYR8	1037
P36021	1038
P61278	1039
P16109	1040
O43451	1041
P80404	1042
Q15858	1043
Q9UPY3	1044
Q9UPY5	1045
Q14500	1046
P33121	1047
P26639	1048
Q9UBU3	1049
O15382	1050
Q9BZ95	1051
Q13509	1052
Q9UDY2	1053
Q13501	1054
Q96A70	1055
P13500	1056
Q16719	1057
P30273	1058
Q96BI1	1059
O00170	1060
P10745	1061
P12271	1062
P12277	1063
P48637	1064
P19801	1065
P34972	1066
P49721	1067
Q9H222	1068
Q16620	1069
P56539	1070
Q96I59	1071
Q9NQ38	1072
O60882	1073
O14521	1074
P19440	1075
Q9BYC2	1076
Q9NVH6	1077
P51692	1078
P10696	1079
P37173	1080
Q9NSD9	1081
P18507	1082
P18505	1083
O00591	1084
P27816	1085
P27815	1086
Q12879	1087
P49902	1088
Q13873	1089
Q9BTZ2	1090
P23280	1091
P23284	1092
Q07812	1093
P31327	1094
P62937	1095
P09622	1096
P01189	1097
P01185	1098
Q92908	1099
Q15125	1100
P14207	1101
Q86W47	1102
O75908	1103
P49019	1104
O75900	1105
Q05940	1106
P01584	1107
O60658	1108
P17405	1109
O60656	1110
Q08257	1111
O75874	1112
Q99895	1113
P06241	1114
Q969G6	1115
Q92870	1116
P54278	1117
Q6ZYL4	1118
P46597	1119
P00167	1120
P08575	1121
Q8N0U8	1122
P23469	1123
Q14524	1124
P18031	1125
P02671	1126
P04070	1127
Q8WW38	1128
O00206	1129
O43511	1130
P38435	1131
P39086	1132
Q9Y5Y9	1133
P41250	1134
Q9Y5Y4	1135
P41252	1136
Q8IZS8	1137
Q99735	1138
P10827	1139
P19634	1140
P10828	1141
Q9H4B7	1142
O43462	1143
P15121	1144
P19320	1145
P07359	1146
Q15672	1147
P42858	1148
Q16568	1149
Q9NSU2	1150
Q9NZC7	1151
Q9UDX3	1152
Q9UDX4	1153
Q06203	1154
Q9Y5K3	1155
P36544	1156
P12268	1157
Q9NR33	1158
P34896	1159
P34897	1160
P07101	1161
P51512	1162
P06401	1163
P51511	1164
P50579	1165
P09960	1166
P12314	1167
P30085	1168
P12319	1169
P06746	1170
P47989	1171
Q9UN88	1172
Q9NQW8	1173
Q96EB1	1174
Q9HC29	1175
Q03013	1176
P23921	1177
Q07001	1178
P18510	1179
Q969P6	1180
P51649	1181
Q9BZR6	1182
Q15046	1183
O15111	1184
Q12809	1185
P20711	1186
P25092	1187
P49918	1188
P49917	1189
P49916	1190
O95363	1191
P0C0L4	1192
Q13946	1193
Q00653	1194
P31350	1195
P43088	1196
Q09428	1197
Q9H2X9	1198
P07437	1199
Q96SW2	1200
P43246	1201
Q9UGI6	1202
P00488	1203
P23381	1204
P08100	1205
Q05932	1206
P00480	1207
O75911	1208
Q9UK23	1209
O75469	1210
P35219	1211
P35218	1212
Q330K2	1213
P27707	1214
P00374	1215
P27708	1216
P01579	1217
P28702	1218
P08588	1219
P25963	1220
P18858	1221
P08581	1222
P00390	1223
P25098	1224
O75600	1225
Q8WZ55	1226
P23258	1227
P04000	1228
P04001	1229
P01375	1230
P01374	1231
Q9GZZ6	1232
P22033	1233
Q99707	1234
Q99250	1235
Q05209	1236
Q9NPC2	1237
P09619	1238
Q13461	1239
Q02641	1240
P24941	1241
P54284	1242
P11498	1243
P54289	1244
Q7L5Y9	1245
Q16558	1246
Q04743	1247
Q16760	1248
P21397	1249
Q9HD89	1250
P11473	1251
P50747	1252
Q53H96	1253
Q08881	1254
P19793	1255
Q16739	1256
P33076	1257
Q9UHW9	1258
P14555	1259
Q9BY66	1260
P17096	1261
P30520	1262
O14646	1263
Q14957	1264
O95069	1265
O14649	1266
O95665	1267
P49585	1268
O14880	1269
P49588	1270
P49589	1271
P30411	1272
